Rank,Roller Coaster Rides,lat,lng,rating,dataset
1, Splash Mountain,33.812207,-117.922834,4.8,rides_Disney_land
2, Indiana Jones Adventure,33.8113494,-117.9204242,4.7,rides_Disney_land
3, Pirates of the Caribbean,33.811254,-117.920785,4.7,rides_Disney_land
4, Matterhorn Bobsleds,33.8130703,-117.9178203,4.4,rides_Disney_land
5, Haunted Mansion,33.811723,-117.922184,4.7,rides_Disney_land
6, Mad Tea Party,33.813446,-117.918296,4.4,rides_Disney_land
7, Space Mountain,33.81138,-117.917307,4.7,rides_Disney_land
8, Big Thunder Mountain Railroad,33.8132562,-117.9203464,4.9,rides_Disney_land
9, It’s A Small World,33.8145685,-117.9178555,4.6,rides_Disney_land
10, Jungle Cruise,33.811437,-117.919952,4.5,rides_Disney_land
11, Peter Pan’s Flight,33.813126,-117.91888,4.2,rides_Disney_land
12, Star Tours — The Adventures Continue,28.3554943,-81.5587382,4.6,rides_Disney_land
13, Finding Nemo Submarine Voyage,33.812811,-117.916776,3.9,rides_Disney_land
14, Buzz Lightyear Astro Blasters,33.8121965,-117.9179898,4.5,rides_Disney_land
15, Autopia,33.8125665,-117.9163662,4,rides_Disney_land
16, Mr Toad’s Wild Ride,33.81331,-117.918726,4.3,rides_Disney_land
17, Dumbo the Flying Elephant,33.8136832,-117.9189326,4.3,rides_Disney_land
18, Alice in Wonderland,33.813295,-117.918328,4.6,rides_Disney_land
19, Roger Rabbit’s Car Toon Spin,33.815237,-117.918053,4.3,rides_Disney_land
20, Astro Orbitor,33.812076,-117.918311,4.1,rides_Disney_land
21, Gadget’s Go Coaster,33.8152241,-117.9193603,4.1,rides_Disney_land
22, Storybook Land Canal Boats,33.813642,-117.918233,4.2,rides_Disney_land
23, Pinocchio’s Daring Journey,33.813273,-117.919181,4.2,rides_Disney_land
24, Casey Jr Circus Train,33.8137228,-117.919181,4.5,rides_Disney_land
25, King Arthur Carousel,33.8134151,-117.9189759,4.5,rides_Disney_land
26, Snow White’s Scary Adventures,33.813175,-117.91911,4.3,rides_Disney_land
27, The Many Adventures of Winnie The Pooh,33.812525,-117.923135,4.1,rides_Disney_land
